zou3 走 1  8107 "走进 走向 走过 走去" "走 zou3 to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; to change (shape, form, meaning)
走进 zou3jin4 to enter
走向 zou3xiang4 direction; strike (i.e. angle of inclination in geology); inclination; trend; to move towards; to head for
走过 zou3guo4 to walk past; to pass by
走去 zou3qu4 to walk over (to)"
zhai3 窄 1  8106 狭窄 "窄 zhai3 narrow; narrow-minded; badly off
狭窄 xia2zhai3 narrow"
zen4 谮 1  8105  "谮 zen4 to slander"
zen3 怎 1  8104 "怎么 怎样 怎么样 怎么办" "怎 zen3 how
怎么 zen3me5 how?; what?; why?
怎样 zen3yang4 how; what kind
怎么样 zen3me5yang4 how?; how about?; how was it?; how are things?
怎么办 zen3me5ban4 what's to be done"
zao2 凿 1  8103 "确凿 开凿" "凿 zao2 chisel; to bore a hole; to chisel or dig; (literary) (bound form) certain; authentic; irrefutable
确凿 que4zao2 definite; conclusive; undeniable; authentic
开凿 kai1zao2 to cut (a canal, tunnel, well etc)"
zang3 驵 1  8102  "驵 zang3 powerful horse"
yuan3 远 1  8101 "永远 远远 远处 遥远" "远 yuan3 far; distant; remote; (intensifier in a comparison) by far; much (lower etc)
永远 yong3yuan3 forever; eternal
远远 yuan3yuan3 distant; by far
远处 yuan3chu4 distant place
遥远 yao2yuan3 distant; remote"
xu2 徐 1  8100 "徐徐 徐州" "徐 xu2 slowly; gently
徐徐 xu2xu2 slowly; gently
徐州 xu2zhou1 xuzhou, prefecture-level city in jiangsu"
xin3 伈 1  8099  "伈 xin3 nervous; fearful"
wo3 我 1  8098 "我们 我国 自我 我方" "我 wo3 i; me; my
我们 wo3men5 we; us; ourselves; our
我国 wo3guo2 our country; china
自我 zi4wo3 self-; ego (psychology)
我方 wo3fang1 our side; we"
weng3 蓊 1  8097  "蓊 weng3 luxuriant vegetation"
wai4 外 1  8096 "另外 国外 外国 之外" "外 wai4 outside; in addition; foreign; external
另外 ling4wai4 additional; in addition; besides; separate; other; moreover; furthermore
国外 guo2wai4 abroad; external (affairs); overseas; foreign
外国 wai4guo2 foreign (country)
之外 zhi1wai4 outside; excluding"
wai3 崴 1  8095  "崴 wai3 to sprain (one's ankle)"
wai1 歪 1  8094 "歪曲 歪斜" "歪 wai1 askew; at a crooked angle; devious; noxious; (coll.) to lie on one's side
歪曲 wai1qu1 to distort; to misrepresent
歪斜 wai1xie2 crooked; askew; oblique; slanting; out of plumb"
wa2 娃 1  8093 "娃娃 娃儿 女娃 娃子" "娃 wa2 baby; doll
娃娃 wa2wa5 baby; small child; doll
娃儿 wa2er2 children (colloquial)
女娃 nü3wa2 (dialect) girl
娃子 wa2zi5 baby; small child; (arch.) slave among ethnic minorities"
tun3 氽 1  8092  "氽 tun3 to float; to deep-fry"
tui3 腿 1  8091 "大腿 双腿 小腿 火腿" "腿 tui3 leg; hip bone
大腿 da4tui3 thigh
双腿 shuang1tui3 legs; both legs; two legs
小腿 xiao3tui3 lower leg (from knee to ankle); shank
火腿 huo3tui3 ham"
tuan4 彖 1  8090  
tuan3 疃 1  8089  "疃 tuan3 village; animal track"
tou4 透 1  8088 "透露 透过 透明 渗透" "透 tou4 (bound form) to penetrate; to seep through; to tell secretly; to leak; thoroughly; through and through; to appear; to show
透露 tou4lu4 to leak out; to divulge; to reveal
透过 tou4guo4 to pass through; to penetrate; by means of; via
透明 tou4ming2 transparent; (fig.) transparent; open to scrutiny
渗透 shen4tou4 (lit. and fig.) to permeate; to seep into; (of a product, idea etc) to penetrate (in a population); (of hostile forces) to infiltrate; (chemistry) osmosis"
tou1 偷 1  8087 "偷偷 小偷 偷看 偷懒" "偷 tou1 to steal; to pilfer; to snatch; thief; stealthily
偷偷 tou1tou1 stealthily; secretly; covertly; furtively; on the sly
小偷 xiao3tou1 thief
偷看 tou1kan4 to peep; to peek; to steal a glance
偷懒 tou1lan3 to goof off; to be lazy"
teng1 熥 1  8086  "熥 teng1 to heat up (cooked food) by baking or steaming"
tao4 套 1  8085 "配套 外套 手套 套装" "套 tao4 to cover; to encase; cover; sheath; to overlap; to interleave; to model after; to copy; formula; harness; loop of rope; (fig.) to fish for; to obtain slyly; classifier for sets, collections; bend (of a river or mountain range, in place names)
配套 pei4tao4 to form a complete set; compatible; matching; complementary
外套 wai4tao4 coat; jacket
手套 shou3tao4 glove; mitten
套装 tao4zhuang1 outfit or suit (of clothes); set of coordinated items; kit"
tao3 讨 1  8084 "讨论 讨厌 探讨 检讨" "讨 tao3 to invite; to provoke; to demand or ask for; to send armed forces to suppress; to denounce or condemn; to marry (a woman); to discuss or study
讨论 tao3lun4 to discuss; to talk over
讨厌 tao3yan4 to dislike; to loathe; disagreeable; troublesome; annoying
探讨 tan4tao3 to investigate; to probe
检讨 jian3tao3 to examine or inspect; self-criticism; review"
sui3 髓 1  8083 "精髓 骨髓 脊髓" "髓 sui3 marrow; essence; quintessence; pith (soft interior of plant stem)
精髓 jing1sui3 marrow; pith; quintessence; essence
骨髓 gu3sui3 bone marrow (medulla ossea)
脊髓 ji3sui3 spinal cord; medulla spinalis"
su2 俗 1  8082 "习俗 世俗 风俗 通俗" "俗 su2 custom; convention; popular; common; coarse; vulgar; secular
习俗 xi2su2 custom; tradition; local tradition; convention
世俗 shi4su2 profane; secular; worldly
风俗 feng1su2 social custom
通俗 tong1su2 common; everyday; average"
si3 死 1  8081 "死亡 打死 死去 死者" "死 si3 to die; impassable; uncrossable; inflexible; rigid; extremely; damned
死亡 si3wang2 to die; death
打死 da3si3 to kill; to beat to death
死去 si3qu4 to die
死者 si3zhe3 the dead; the deceased"
shui3 水 1  8080 "水平 泪水 水果 水泥" "水 shui3 water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes
水平 shui3ping2 level (of achievement etc); standard; horizontal
泪水 lei4shui3 teardrop; tears
水果 shui3guo3 fruit
水泥 shui3ni2 cement"
shuang3 爽 1  8079 "不爽 爽快 清爽 凉爽" "爽 shuang3 bright; clear; crisp; open; frank; straightforward; to feel well; fine; pleasurable; invigorating; to deviate
不爽 bu4shuang3 not well; out of sorts; in a bad mood; without discrepancy; accurate
爽快 shuang3kuai5 refreshed; rejuvenated; frank and straightforward
清爽 qing1shuang3 fresh and cool; relaxed
凉爽 liang2shuang3 cool and refreshing"
shuai3 甩 1  8078 "甩掉 甩开 甩手 甩卖" "甩 shuai3 to throw; to fling; to swing; to leave behind; to throw off; to dump (sb)
甩掉 shuai3diao4 to throw off; to abandon; to cast off; to get rid of; to dump
甩开 shuai3kai1 to shake off; to get rid of
甩手 shuai3shou3 to swing one's arms; to wash one's hands of sth
甩卖 shuai3mai4 to mark down (the price of goods); to sell off cheap"
shua3 耍 1  8077 "玩耍 耍赖 杂耍 戏耍" "耍 shua3 to play with; to wield; to act (cool etc); to display (a skill, one's temper etc)
玩耍 wan2shua3 to play (as children do); to amuse oneself
耍赖 shua3lai4 to act shamelessly; to refuse to acknowledge that one has lost the game, or made a promise etc; to act dumb; to act as if sth never happened
杂耍 za2shua3 a sideshow; vaudeville; juggling
戏耍 xi4shua3 to amuse oneself; to play with; to tease"
shou1 收 1  8076 "收入 收到 收费 收藏" "收 shou1 to receive; to accept; to collect; to put away; to restrain; to stop; in care of (used on address line after name)
收入 shou1ru4 to take in; income; revenue
收到 shou1dao4 to receive
收费 shou1fei4 to charge a fee
收藏 shou1cang2 to collect (works of art, dolls, antiques etc); to put away for safekeeping; (internet) to bookmark; a collection"
sheng2 绳 1  8075 "绳子 绳索 跳绳 缰绳" "绳 sheng2 rope
绳子 sheng2zi5 cord; string; rope
绳索 sheng2suo3 rope
跳绳 tiao4sheng2 to jump rope; jump rope
缰绳 jiang1sheng2 reins"
shei2 谁 1  8074 谁知 "谁 shei2 who
谁知 shei2zhi1 who would have thought; unexpectedly"
shai4 晒 1  8073 "防晒 晒干 暴晒 曝晒" "晒 shai4 (of the sun) to shine on; to bask in (the sunshine); to dry (clothes, grain etc) in the sun; (coll.) to give the cold shoulder to
防晒 fang2shai4 sunburn protection
晒干 shai4gan1 to dry in the sun
暴晒 bao4shai4 (of the sun) to scorch; to expose to a scorching sun
曝晒 pu4shai4 to expose to strong sunlight"
shai1 筛 1  8072 "筛选 筛子" "筛 shai1 to filter; to sift; to sieve
筛选 shai1xuan3 to filter
筛子 shai1zi5 sieve"
sha3 傻 1  8071 "傻瓜 傻子 傻笑 傻眼" "傻 sha3 foolish
傻瓜 sha3gua1 idiot; fool
傻子 sha3zi5 idiot; fool
傻笑 sha3xiao4 to giggle; to laugh foolishly; to smirk; to simper
傻眼 sha3yan3 stunned; struck dumb; flabbergasted"
sha2 啥 1  8070  "啥子 sha2zi5 (dialect) what"
seng1 僧 1  8069 "高僧 僧侣" "僧人 seng1ren2 monk
高僧 gao1seng1 a senior monk
僧侣 seng1lü3 monk"
sen1 森 1  8068 "森林 森严 阴森 森森" "森 sen1 forest
森林 sen1lin2 forest
森严 sen1yan2 strict; rigid; tight (security)
阴森 yin1sen1 gloomy; sinister; eerie
森森 sen1sen1 dense (of trees); thick; ghastly; eerie"
rui3 蕊 1  8067 花蕊 "蕊 rui3 stamen; pistil
花蕊 hua1rui3 stamen; pistil"
rui2 蕤 1  8066  "蕤 rui2 fringe; overladen with flowers"
ruan2 堧 1  8065  "堧 ruan2 adjoin"
rou4 肉 1  8064 "肌肉 牛肉 肉体 羊肉" "肉 rou4 meat; flesh; pulp (of a fruit); (coll.) (of a fruit) squashy; (of a person) flabby; irresolute; kangxi radical 130
肌肉 ji1rou4 muscle; flesh
牛肉 niu2rou4 beef
肉体 rou4ti3 physical body
羊肉 yang2rou4 mutton; goat meat"
rong3 冗 1  8063 冗长 "冗 rong3 extraneous; redundant; superfluous; busy schedule
冗长 rong3chang2 long and tedious; redundant; superfluous; supernumerary; verbose (of writing)"
reng2 仍 1  8062 "仍然 仍旧" "仍 reng2 still; yet; to remain; (literary) frequently; often
仍然 reng2ran2 still; as before; yet
仍旧 reng2jiu4 still (remaining); to remain (the same); yet"
reng1 扔 1  8061 "扔掉 扔下" "扔 reng1 to throw; to throw away
扔掉 reng1diao4 to throw away; to throw out
扔下 reng1xia4 to throw down; to drop (bomb)"
re4 热 1  8060 "热情 热闹 热爱 热烈" "热 re4 to warm up; to heat up; hot (of weather); heat; fervent
热情 re4qing2 cordial; enthusiastic; passion; passionate; passionately
热闹 re4nao5 bustling with noise and excitement; lively
热爱 re4ai4 to love ardently; to adore
热烈 re4lie4 enthusiastic; ardent; warm"
rao4 绕 1  8059 "围绕 环绕 绕过 缠绕" "绕 rao4 to wind; to coil (thread); to rotate around; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour; to confuse; to perplex; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour
围绕 wei2rao4 to revolve around; to center on (an issue)
环绕 huan2rao4 to surround; to circle; to revolve around
绕过 rao4guo4 to detour; to bypass; to circumvent; to avoid; to wind around (of a road etc)
缠绕 chan2rao4 twisting; to twine; to wind; to pester; to bother"
rao3 扰 1  8058 "干扰 打扰 骚扰 困扰" "扰 rao3 to disturb
干扰 gan1rao3 to disturb; to interfere; perturbation; interference (physics)
打扰 da3rao3 to disturb; to bother; to trouble
骚扰 sao1rao3 to disturb; to cause a commotion; to harass
困扰 kun4rao3 to perplex; to disturb; to cause complications"
que2 瘸 1  8057 "瘸子 瘸腿" "瘸 que2 lame
瘸子 que2zi5 lame person (colloquial)
瘸腿 que2tui3 crippled; lame; a cripple; a lame person"
qiu3 糗 1  8056  "糗 qiu3 dry rations (for a journey); (dialect) (of noodles etc) to become mush (from overcooking); (coll.) embarrassing; embarrassment"
qie3 且 1  8055 "而且 并且 况且 暂且" "且 qie3 and; moreover; yet; for the time being; to be about to; both (... and...)
而且 er2qie3 (not only ...) but also; moreover; in addition; furthermore
并且 bing4qie3 and; besides; moreover; furthermore; in addition
